index,date,iso_code,total_vacc
507,2021-12-23,AIA,6807772.417858481
508,2021-12-24,AIA,6816401.815486193
509,2021-12-25,AIA,6824854.805307269
510,2021-12-26,AIA,6833135.554435253
511,2021-12-27,AIA,6841246.84094584
512,2021-12-28,AIA,6849191.442914724
513,2021-12-29,AIA,6856972.138417602
514,2021-12-30,AIA,6864592.40004909
515,2021-12-31,AIA,6872054.311365962
516,2022-01-01,AIA,6879360.650443912
517,2022-01-02,AIA,6886514.195358634
518,2022-01-03,AIA,6893518.418704748
519,2022-01-04,AIA,6900374.709520102
520,2022-01-05,AIA,6907087.234918237
521,2022-01-06,AIA,6913657.383937001
522,2022-01-07,AIA,6920089.323689938
523,2022-01-08,AIA,6926383.74869597
524,2022-01-09,AIA,6932544.82606864
525,2022-01-10,AIA,6938573.944845796
526,2022-01-11,AIA,6944474.577622056
527,2022-01-12,AIA,6950248.113435268
528,2022-01-13,AIA,6955898.024880052
529,2022-01-14,AIA,6961425.006475329
530,2022-01-15,AIA,6966833.225334644
531,2022-01-16,AIA,6972124.070495844
532,2022-01-17,AIA,6977299.625515699
533,2022-01-18,AIA,6982363.36298883
534,2022-01-19,AIA,6987316.671953082
535,2022-01-20,AIA,6992162.330484152
536,2022-01-21,AIA,6996901.033100963
537,2022-01-22,AIA,7001536.252398133
538,2022-01-23,AIA,7006069.377413511
539,2022-01-24,AIA,7010503.186222792
540,2021-10-27,ATG,5914149.503554583
541,2021-10-28,ATG,5931248.5594575405
542,2021-10-29,ATG,5951074.296655178
543,2021-10-30,ATG,5972100.857071996
544,2021-10-31,ATG,5993697.61752522
545,2021-11-01,ATG,6015488.148758173
546,2021-11-02,ATG,6037255.760866642
547,2021-11-03,ATG,6058873.356887579
548,2021-11-04,ATG,6080269.401371837
549,2021-11-05,ATG,6101405.001259685
550,2021-11-06,ATG,6122259.32098341
551,2021-11-07,ATG,6142821.942759156
552,2021-11-08,ATG,6163088.004954457
553,2021-11-09,ATG,6183059.591126084
554,2021-11-10,ATG,6202735.31223619
555,2021-11-11,ATG,6222115.168284774
556,2021-11-12,ATG,6241199.85379076
557,2021-11-13,ATG,6259988.674235225
558,2021-11-14,ATG,6278460.099531531
559,2021-11-15,ATG,6296613.435160756
560,2021-11-16,ATG,6314448.681122899
561,2021-11-17,ATG,6332057.513915896
562,2021-11-18,ATG,6349378.815874457
563,2021-11-19,ATG,6366415.365074277
564,2021-11-20,ATG,6383169.93959105
565,2021-11-21,ATG,6399644.622981548
566,2021-11-22,ATG,6415842.88784039
567,2021-11-23,ATG,6431768.206762195
568,2021-11-24,ATG,6447420.579746962
569,2021-11-25,ATG,6462804.868427157
570,2021-11-26,ATG,6477923.156359553
571,2021-11-27,ATG,6492778.221619844
572,2021-11-28,ATG,6507372.147764802
573,2021-11-29,ATG,6521709.1019079685
574,2021-11-30,ATG,6535790.473087192
575,2021-12-01,ATG,6549620.428416014
576,2021-12-02,ATG,6563200.356932282
577,2021-12-03,ATG,6576534.42574954
578,2021-12-04,ATG,6589625.412943482
579,2021-12-05,ATG,6602476.096589804
580,2021-12-06,ATG,6615088.5602452755
581,2021-12-07,ATG,6627466.97102344
582,2021-12-08,ATG,6639614.801518917
583,2021-12-09,ATG,6651533.440769553
584,2021-12-10,ATG,6663227.055888891
585,2021-12-11,ATG,6674698.424952626
586,2021-12-12,ATG,6685951.020555377
587,2021-12-13,ATG,6696986.926253915
588,2021-12-14,ATG,6707811.003680706
589,2021-12-15,ATG,6718425.336392522
590,2021-12-16,ATG,6728832.007946134
591,2021-12-17,ATG,6739035.185455084
592,2021-12-18,ATG,6749038.341513991
593,2021-12-19,ATG,6758844.254198551
594,2021-12-20,ATG,6768455.701584458
595,2021-12-21,ATG,6777875.461747408
596,2021-12-22,ATG,6787106.312763095
597,2021-12-23,ATG,6796153.116263986
598,2021-12-24,ATG,6805016.566769004
599,2021-12-25,ATG,6813700.831391692
600,2021-12-26,ATG,6822209.382726669
601,2021-12-27,ATG,6830544.304330707
602,2021-12-28,ATG,6838709.068798423
603,2021-12-29,ATG,6846705.759686589
604,2021-12-30,ATG,6854537.155070901
605,2021-12-31,ATG,6862207.4220649
606,2022-01-01,ATG,6869719.338744283
607,2022-01-02,ATG,6877074.294146895
608,2022-01-03,ATG,6884275.760867357
609,2022-01-04,ATG,6891327.211500287
610,2022-01-05,ATG,6898230.035083532
611,2022-01-06,ATG,6904987.704211712
612,2022-01-07,ATG,6911602.302441597
613,2022-01-08,ATG,6918077.302367806
614,2022-01-09,ATG,6924415.482066035
615,2022-01-10,ATG,6930617.536055207
616,2022-01-11,ATG,6936688.325967789
617,2022-01-12,ATG,6942628.546322703
618,2022-01-13,ATG,6948441.66971457
619,2022-01-14,ATG,6954130.474219084
620,2022-01-15,ATG,6959695.654355168
621,2022-01-16,ATG,6965141.377236366
622,2022-01-17,ATG,6970469.031900525
623,2022-01-18,ATG,6975680.701904416
624,2022-01-19,ATG,6980780.554361582
625,2022-01-20,ATG,6985767.200234175
626,2022-01-21,ATG,6990646.195673585
627,2022-01-22,ATG,6995418.235198736
628,2022-01-23,ATG,7000086.791404247
629,2022-01-24,ATG,7004651.169771194
630,2021-10-27,ARG,5824206.872111499
631,2021-10-28,ARG,5851626.131962061
632,2021-10-29,ARG,5877416.397676945
633,2021-10-30,ARG,5902230.169785023
634,2021-10-31,ARG,5926340.394223332
635,2021-11-01,ARG,5949908.89390111
636,2021-11-02,ARG,5973030.123391986
637,2021-11-03,ARG,5995758.255172014
638,2021-11-04,ARG,6018126.626149535
639,2021-11-05,ARG,6040156.766411185
640,2021-11-06,ARG,6061864.649892211
641,2021-11-07,ARG,6083257.22178185
